Row 1
	        TIME	      NRiter	      LSiter	         FPR	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR	        FWPT
	         DAY	            	            	        PSIA	     STB/DAY	         STB	    MSCF/DAY	        MSCF	     STB/DAY	         STB
	            	            	            	            	            	            	            	            	            	            
	           1	           4	          62	     3768.89	       37446	       37446	     51404.8	     51404.8	     42.1079	     42.1079
	        1.15	           6	          76	     3765.32	     37410.1	     43057.5	       51270	     59095.3	     42.2844	     48.4506
	     1.39425	           7	          88	     3760.47	     37259.4	     52158.1	     50952.6	     71540.5	      42.465	     58.8226
	     1.88275	           8	         102	     3752.49	     37071.3	     70267.4	     50535.9	     96227.2	     42.5228	      79.595
	     2.85975	           9	         119	      3740.2	     36851.3	      106271	     50143.4	      145217	     43.3611	     121.959
	     4.81374	          11	         151	     3722.92	     36716.8	      178016	     50017.8	      242952	     44.7484	     209.397
	     7.57518	          13	         187	      3703.5	     36588.6	      279053	     49774.6	      380401	     46.3561	     337.406
	     12.7795	          15	         228	     3675.42	     36445.1	      468723	     49507.7	      638053	     51.8688	     607.346
	     22.7795	          18	         287	     3638.66	     36291.2	      831635	     49613.8	 1.13419e+06	     85.6529	     1463.87
	     32.7795	          21	         340	     3613.02	     35961.5	 1.19125e+06	     49979.1	 1.63398e+06	     158.377	     3047.65
	     42.7795	          23	         378	     3592.28	     35650.7	 1.54776e+06	     52097.8	 2.15496e+06	     252.284	     5570.49
	          50	          25	         412	     3578.68	     35491.5	 1.80403e+06	     54707.5	 2.54998e+06	     320.188	     7882.42
	          60	          27	         447	     3560.38	     35293.6	 2.15696e+06	     59292.1	  3.1429e+06	     410.472	     11987.1
	          70	          29	         478	     3542.24	     35124.9	 2.50821e+06	     64754.3	 3.79044e+06	     505.907	     17046.2
	          80	          31	         510	     3523.95	     34966.1	 2.85787e+06	     70739.8	 4.49784e+06	     607.861	     23124.8
	          90	          33	         543	     3505.37	     34827.2	 3.20614e+06	     76891.4	 5.26675e+06	     728.106	     30405.9
	         100	          35	         573	     3486.31	       34697	 3.55311e+06	       83171	 6.09847e+06	     876.721	     39173.1
